"Changes in Consumer Price Indexes, 2020 through 2023",,,,,,,,,,,
Consumer Price Index item,Relative importance1,Month-to-month February 2023 to March 2023,Year-over-year March 2022 to March 2023,Year-to-date avg. 2023 to avg. 2022,Annual 2020,Annual 2021,Annual 2022,"20-year historical average 
 (2003 - 2022)",Prediction Interval 20232,,
,Percent,Percent change,Percent change,Percent change,Percent change,Percent change,Percent change,Percent change,Percent change,,
,,,,,,,,,Lower,Mid,Upper
All food,100.0  ,0.1  ,8.5  ,4.8  ,3.4  ,3.9  ,9.9  ,2.8  ,4.9  ,6.5  ,8.2  
,,,,,,,,,,,
Food away from home,35.5  ,0.6  ,8.8  ,5.1  ,3.4  ,4.5  ,7.7  ,3.1  ,7.3  ,8.2  ,9.0  
,,,,,,,,,,,
Food at home,64.5  ,-0.2  ,8.4  ,4.7  ,3.5  ,3.5  ,11.4  ,2.5  ,4.4  ,6.6  ,8.8  
"Meats, poultry, and fish",12.3  ,-0.1  ,2.4  ,0.5  ,6.3  ,6.8  ,9.6  ,3.4  ,-2.1  ,1.3  ,4.9  
Meats,7.6  ,0.3  ,0.7  ,-0.1  ,7.4  ,7.7  ,8.2  ,3.6  ,-2.5  ,1.4  ,5.5  
Beef and veal,3.2  ,0.5  ,-1.9  ,-1.1  ,9.6  ,9.3  ,5.3  ,4.6  ,-6.2  ,-0.5  ,5.8  
Pork,2.5  ,-0.7  ,-0.6  ,-1.5  ,6.3  ,8.6  ,8.7  ,2.6  ,-6.8  ,-2.0  ,3.3  
Other meats,1.9  ,1.1  ,8.8  ,4.2  ,4.4  ,2.9  ,14.2  ,2.7  ,2.8  ,5.9  ,9.2  
Poultry,2.6  ,-0.4  ,7.5  ,2.0  ,5.6  ,5.1  ,14.6  ,2.9  ,0.2  ,2.8  ,5.6  
Fish and seafood,2.1  ,-1.1  ,2.6  ,1.0  ,3.3  ,5.4  ,9.1  ,3.3  ,-1.0  ,1.6  ,4.2  
Eggs,1.2  ,-10.9  ,36.0  ,27.2  ,4.3  ,4.5  ,32.2  ,4.7  ,5.1  ,17.8  ,32.9  
Dairy products,6.0  ,-0.3  ,10.7  ,4.9  ,4.4  ,1.4  ,12.0  ,2.3  ,1.1  ,4.9  ,8.9  
,,,,,,,,,,,
Fats and oils,1.9  ,-0.7  ,15.9  ,9.0  ,1.3  ,4.6  ,18.5  ,3.2  ,8.7  ,12.8  ,17.1  
Fruits and vegetables,11.1  ,-1.5  ,2.5  ,2.3  ,1.4  ,3.2  ,8.5  ,2.2  ,-1.2  ,1.8  ,5.0  
Fresh fruits and vegetables,8.3  ,-1.9  ,-0.2  ,0.8  ,0.8  ,3.3  ,7.5  ,2.1  ,-4.3  ,-0.5  ,3.3  
Fresh fruits,4.4  ,-1.7  ,-1.5  ,0.1  ,-0.8  ,5.5  ,7.9  ,2.1  ,-4.3  ,-0.5  ,3.7  
Fresh vegetables,3.8  ,-2.2  ,1.4  ,1.5  ,2.6  ,1.1  ,7.0  ,2.2  ,-4.0  ,0.4  ,4.8  
Processed fruits and vegetables,2.8  ,-0.4  ,11.1  ,7.0  ,3.5  ,2.9  ,12.0  ,2.6  ,6.4  ,9.9  ,13.7  
Sugar and sweets,2.3  ,-0.2  ,10.0  ,6.7  ,3.3  ,3.0  ,10.4  ,2.5  ,7.6  ,10.1  ,12.6  
Cereals and bakery products,8.6  ,0.9  ,13.6  ,7.5  ,2.2  ,2.3  ,13.0  ,2.6  ,9.2  ,11.7  ,14.3  
Nonalcoholic beverages,7.8  ,0.2  ,11.3  ,6.6  ,3.6  ,2.8  ,11.0  ,1.9  ,7.2  ,9.9  ,12.7  
Other foods,13.2  ,1.1  ,10.5  ,5.3  ,3.1  ,2.2  ,12.7  ,2.1  ,6.7  ,9.2  ,11.8  
"Notes: The most recent forecast was published on April 25, 2023. The next forecast will be published on May 25, 2023.",,,,,,,,,,,
"1Bureau of Labor Statistics estimated expenditure shares, Feb. 2023. Food prices represent 13.5 percent of the total CPI.",,,,,,,,,,,
2About this table:,,,,,,,,,,,
"1. Forecasts are grouped in three columns by the lower-bound, midpoint, and upper-bound of the prediction interval.",,,,,,,,,,,
2. Each cell represents the percent change range for each point in the forecast. NA: not available. ,,,,,,,,,,,
"Source: U.S. Bureau of Labor Statistics Consumer Price Indexes (not seasonally adjusted) and forecasts by USDA, Economic Research Service.",,,,,,,,,,,
"For questions, contact:",,,,,,,,,,,
"Matthew MacLachlan, matthew.maclachlan@usda.gov or Megan Sweitzer, megan.sweitzer@usda.gov",,,,,,,,,,,
